price,bedrooms,bathrooms,toilets,parking_space,title,town,state
450000000,6,5,5,4,Detached Duplex,Mabushi,Abuja
800000000,4,5,5,4,Terraced Duplexes,Katampe,Abuja
120000000,4,5,5,4,Detached Duplex,Lekki,Lagos
40000000,4,4,5,6,Detached Duplex,Ajah,Lagos
75000000,4,4,5,2,Semi Detached Duplex,Lekki,Lagos
450000000,5,5,6,1,Detached Duplex,Lekki,Lagos
65000000,4,5,5,4,Detached Duplex,Lekki,Lagos
12000000,2,2,3,6,Detached Bungalow,Epe,Lagos
200000000,1,1,1,1,Detached Duplex,Lekki,Lagos
60000000,4,4,5,5,Detached Duplex,Ajah,Lagos
25000000,3,4,5,4,Terraced Duplexes,Lokogoma District,Abuja
45000000,6,6,6,4,Semi Detached Duplex,Oredo,Edo
65000000,4,5,6,3,Semi Detached Duplex,Lekki,Lagos
70000000,4,4,5,4,Semi Detached Duplex,Lekki,Lagos
450000000,6,6,7,4,Detached Duplex,Victoria Island (VI),Lagos
12000000,3,4,4,3,Detached Bungalow,Mowe Ofada,Ogun
48000000,4,4,5,4,Terraced Duplexes,Lekki,Lagos
37000000,3,3,4,4,Detached Bungalow,Lokogoma District,Abuja
170000000,4,5,5,4,Detached Duplex,Victoria Island (VI),Lagos
350000000,3,3,4,2,Block of Flats,Ikeja,Lagos
85000000,5,5,6,5,Detached Duplex,Lekki,Lagos
34000000,3,3,4,4,Terraced Duplexes,Lekki,Lagos
130000000,4,5,5,2,Terraced Duplexes,Victoria Island (VI),Lagos
160000000,5,6,7,6,Detached Duplex,Katampe,Abuja
60000000,4,4,5,3,Detached Duplex,Ajah,Lagos
270000000,5,5,5,4,Detached Duplex,Lekki,Lagos
250000000,5,6,5,4,Detached Duplex,Lekki,Lagos
180000000,4,4,5,5,Detached Duplex,Lekki,Lagos
75000000,4,4,5,2,Semi Detached Duplex,Lekki,Lagos
270000000,5,5,5,4,Detached Duplex,Lekki,Lagos
850000000,6,8,8,3,Detached Duplex,Ikoyi,Lagos
140000000,4,4,5,4,Detached Duplex,Magodo,Lagos
700000000,5,5,6,4,Detached Duplex,Ikoyi,Lagos
7000000,2,3,5,4,Block of Flats,Mowe Ofada,Ogun
150000000,5,5,6,6,Detached Duplex,Kaura,Abuja
70000000,4,4,5,8,Detached Duplex,Galadimawa,Abuja
40000000,3,5,5,4,Terraced Duplexes,Ajah,Lagos
70000000,5,5,6,1,Detached Duplex,Oredo,Edo
120000000,5,5,6,5,Detached Duplex,Lekki,Lagos
55000000,4,4,5,4,Terraced Duplexes,Lekki,Lagos
130000000,6,6,7,8,Detached Duplex,Gwarinpa,Abuja
75000000,4,5,5,4,Semi Detached Duplex,Gwarinpa,Abuja
30000000,2,2,3,2,Block of Flats,Lekki,Lagos
53000000,2,2,3,4,Terraced Duplexes,Lekki,Lagos
270000000,5,6,6,4,Detached Duplex,Lekki,Lagos
130000000,5,5,5,4,Detached Bungalow,Katampe,Abuja
25500000,3,3,4,4,Block of Flats,Lekki,Lagos
235000000,5,5,6,4,Detached Duplex,Magodo,Lagos
65000000,3,3,4,3,Terraced Duplexes,Lekki,Lagos
55000000,4,4,4,3,Terraced Duplexes,Lekki,Lagos
120000000,5,5,6,4,Detached Duplex,Lekki,Lagos
69000000,4,5,5,4,Semi Detached Duplex,Lekki,Lagos
105000000,5,5,6,4,Detached Duplex,Lekki,Lagos
60000000,4,4,5,3,Semi Detached Duplex,Ajah,Lagos
1100000000,5,5,6,5,Detached Duplex,Ikoyi,Lagos
300000000,5,5,6,1,Detached Duplex,Gwarinpa,Abuja
4000000,2,2,2,4,Detached Bungalow,Abeokuta North,Ogun
105000000,5,5,6,4,Detached Duplex,Lekki,Lagos
36000000,8,8,8,4,Block of Flats,Oredo,Edo
50000000,4,4,5,1,Semi Detached Duplex,Galadimawa,Abuja
60000000,4,5,5,4,Semi Detached Duplex,Ajah,Lagos
150000000,5,6,7,4,Detached Duplex,Lekki,Lagos
30000000,3,4,4,6,Detached Duplex,Lugbe District,Abuja
75000000,5,5,6,4,Detached Duplex,Ajah,Lagos
12000000,2,3,3,3,Semi Detached Bungalow,Ibeju Lekki,Lagos
110000000,5,5,6,2,Detached Duplex,Lekki,Lagos
12000000,2,2,3,1,Semi Detached Bungalow,Epe,Lagos
330000000,5,5,6,6,Detached Duplex,Lekki,Lagos
45000000,4,4,5,3,Semi Detached Duplex,Ajah,Lagos
50000000,4,4,4,5,Detached Duplex,Ajah,Lagos
135000000,5,5,6,4,Detached Duplex,Lekki,Lagos
40000000,4,2,2,4,Semi Detached Bungalow,Yaba,Lagos
280000000,5,5,6,4,Detached Duplex,Lekki,Lagos
150000000,5,5,5,4,Detached Duplex,Lekki,Lagos
650000000,4,5,5,4,Block of Flats,Ikoyi,Lagos
131000000,4,5,6,4,Terraced Duplexes,Katampe,Abuja
85000000,4,4,5,4,Detached Duplex,Lekki,Lagos
155000000,5,5,6,4,Detached Duplex,Lekki,Lagos
6900000,1,2,2,1,Block of Flats,Sango Ota,Ogun
12500000,3,3,4,4,Detached Bungalow,Ifako-Ijaiye,Lagos
60000000,4,4,5,4,Detached Duplex,Agege,Lagos
105000000,4,4,5,4,Terraced Duplexes,Lekki,Lagos
100000000,5,5,6,4,Detached Duplex,Lekki,Lagos
22500000,2,5,5,4,Block of Flats,Ikorodu,Lagos
70000000,5,5,6,2,Terraced Duplexes,Kaura,Abuja
75000000,4,5,5,4,Terraced Duplexes,Jahi,Abuja
70000000,4,5,5,4,Detached Duplex,Lekki,Lagos
10000000,3,3,3,4,Detached Bungalow,Ibadan,Oyo
5000000,4,2,2,1,Terraced Bungalow,Sango Ota,Ogun
145000000,5,5,6,4,Detached Duplex,Lekki,Lagos
52500000,4,5,5,4,Detached Duplex,Orozo,Abuja
61000000,4,4,5,4,Semi Detached Duplex,Lekki,Lagos
110000000,5,5,6,4,Detached Duplex,Lekki,Lagos
15000000,5,5,5,1,Detached Bungalow,Ifo,Ogun
50000000,5,3,3,4,Detached Duplex,Owerri North,Imo
260000000,5,6,6,4,Detached Duplex,Lekki,Lagos
29800000,4,4,5,4,Terraced Duplexes,Ajah,Lagos
145000000,4,5,6,4,Terraced Duplexes,Lekki,Lagos
150000000,4,4,5,5,Semi Detached Duplex,Lekki,Lagos
80000000,4,4,5,3,Detached Duplex,Lekki,Lagos
280000000,5,6,8,1,Detached Duplex,Guzape District,Abuja
45000000,4,4,5,4,Detached Duplex,Ajah,Lagos
260000000,5,5,6,4,Detached Duplex,Lekki,Anambara
75000000,4,4,5,3,Semi Detached Duplex,Lekki,Lagos
60000000,4,4,5,3,Detached Duplex,Ikeja,Lagos
11500000,3,3,4,3,Terraced Bungalow,Mowe Ofada,Ogun
135000000,3,3,4,4,Block of Flats,Idu Industrial,Abuja
42000000,3,5,5,4,Terraced Duplexes,Ajah,Lagos
60000000,5,5,6,5,Semi Detached Duplex,Owerri Municipal,Imo
36436500,3,3,4,3,Terraced Bungalow,Lekki,Lagos
55000000,3,5,5,4,Block of Flats,Magodo,Lagos
10000000,3,3,3,4,Detached Bungalow,Sango Ota,Ogun
1100000000,5,5,6,5,Detached Duplex,Ikoyi,Lagos
260000000,5,6,6,4,Detached Duplex,Lekki,Lagos
80000000,4,4,5,4,Detached Duplex,Gwarinpa,Abuja
70000000,4,5,5,6,Detached Duplex,Lekki,Lagos
90000000,5,5,6,4,Detached Duplex,Lekki,Lagos
470000000,5,6,7,5,Detached Duplex,Lekki,Lagos
40000000,4,4,5,4,Detached Duplex,Isheri North,Lagos
90000000,5,5,6,4,Detached Duplex,Ajah,Lagos
200000000,5,5,6,1,Detached Duplex,Lekki,Lagos
30000000,2,5,5,4,Semi Detached Bungalow,Galadimawa,Abuja
150000000,5,5,6,4,Detached Duplex,Katampe,Abuja
250000000,5,5,3,6,Detached Duplex,Utako,Abuja
300000000,6,6,7,1,Detached Duplex,Guzape District,Abuja
70000000,4,5,5,4,Semi Detached Duplex,Lekki,Lagos
30000000,2,5,9,4,Detached Bungalow,Ibeju Lekki,Lagos
49900000,4,3,3,4,Terraced Duplexes,Guzape District,Abuja
120000000,5,6,7,4,Detached Duplex,Lekki,Lagos
70000000,4,4,5,4,Detached Duplex,Ajah,Lagos
85000000,4,5,5,4,Semi Detached Duplex,Port Harcourt,Rivers
13000000,4,4,4,2,Semi Detached Duplex,Kuje,Abuja
325000000,5,5,6,6,Detached Duplex,Lekki,Lagos
65000000,4,4,5,3,Terraced Duplexes,Jahi,Abuja
130000000,5,5,6,4,Detached Duplex,Lekki,Lagos
50000000,3,3,4,3,Semi Detached Duplex,Ajah,Lagos
65000000,4,5,5,4,Detached Duplex,Ajah,Lagos
140000000,6,6,7,5,Detached Duplex,Isheri,Lagos
80000000,5,5,6,5,Detached Duplex,Lekki,Lagos
150000000,8,1,1,4,Detached Duplex,Ibadan,Oyo
150000000,5,5,6,4,Detached Duplex,Gwarinpa,Abuja
240000000,4,4,5,4,Semi Detached Duplex,Ikoyi,Lagos
110000000,4,5,5,4,Detached Duplex,Lekki,Lagos
450000000,5,5,6,5,Detached Duplex,Lekki,Lagos
500000000,5,5,6,5,Detached Duplex,Lekki,Lagos
240000000,3,4,4,4,Terraced Duplexes,Ikoyi,Lagos
60000000,4,4,5,4,Terraced Duplexes,Life Camp,Abuja
120000000,5,6,6,4,Detached Duplex,Lekki,Lagos
115000000,4,4,5,4,Terraced Duplexes,Victoria Island (VI),Lagos
11000000,3,2,2,4,Detached Bungalow,Ibadan,Oyo
450000000,5,7,7,7,Detached Duplex,Lekki,Lagos
180000000,4,4,4,3,Terraced Duplexes,Ikeja,Lagos
275000000,6,6,7,4,Detached Duplex,Lekki,Lagos
190000000,4,4,5,7,Detached Duplex,Lekki,Lagos
24000000,3,3,3,4,Detached Bungalow,Ipaja,Lagos
75000000,4,4,5,4,Terraced Duplexes,Magodo,Lagos
130000000,4,5,5,4,Block of Flats,Owerri Municipal,Imo
250000000,5,5,6,1,Detached Duplex,Lekki,Lagos
1300000000,6,6,7,6,Detached Duplex,Ikoyi,Lagos
48000000,4,4,5,4,Semi Detached Duplex,Ajah,Lagos
6000000,4,5,5,2,Detached Bungalow,Ado-Odo/Ota,Ogun
42000000,3,3,4,2,Detached Bungalow,Ajah,Lagos
85000000,5,5,5,4,Detached Duplex,Magodo,Lagos
90000000,4,4,5,4,Detached Duplex,Lekki,Lagos
65000000,4,4,5,3,Semi Detached Duplex,Lekki,Lagos
300000000,3,2,2,2,Block of Flats,Ikeja,Lagos
70000000,4,4,5,4,Terraced Duplexes,Lekki,Lagos
85000000,3,3,4,3,Semi Detached Duplex,Magodo,Lagos
75000000,4,4,5,4,Semi Detached Duplex,Lekki,Lagos
80000000,4,5,5,4,Semi Detached Duplex,Lekki,Lagos
160000000,5,5,6,5,Detached Duplex,Lekki,Lagos
32000000,4,5,5,5,Detached Bungalow,Port Harcourt,Rivers
20000000,3,4,5,6,Detached Bungalow,Ibeju Lekki,Lagos
75000000,4,4,5,3,Detached Duplex,Lekki,Lagos
65000000,5,5,6,3,Terraced Duplexes,Lekki,Lagos
45000000,4,4,5,4,Terraced Duplexes,Dape,Abuja
85000000,5,5,6,5,Detached Duplex,Lekki,Lagos
36000000,3,4,4,4,Terraced Duplexes,Lekki,Lagos
375000000,5,5,6,3,Detached Duplex,Ikoyi,Lagos
300000000,5,7,8,6,Detached Duplex,Lekki,Lagos
140000000,6,6,7,3,Detached Duplex,Isheri North,Ogun
30000000,1,5,5,4,Detached Bungalow,Mushin,Lagos
55000000,3,3,4,4,Block of Flats,Ejigbo,Lagos
70000000,9,9,1,1,Detached Duplex,Isolo,Lagos
65000000,4,4,5,4,Terraced Duplexes,Guzape District,Abuja
25000000,3,2,2,4,Block of Flats,Oredo,Edo
120000000,5,5,6,8,Detached Duplex,Lokogoma District,Abuja
240000000,4,5,5,3,Terraced Duplexes,Ikoyi,Lagos
8000000,3,2,2,2,Detached Bungalow,Agege,Lagos
32000000,3,5,3,4,Terraced Duplexes,Lekki,Lagos
30000000,4,4,4,4,Detached Bungalow,Lokogoma District,Abuja
16000000,3,3,4,4,Detached Bungalow,Ojodu,Lagos
85000000,4,4,5,3,Terraced Duplexes,Lekki,Lagos
45000000,4,4,5,4,Terraced Duplexes,Ajah,Lagos
60000000,4,4,5,2,Semi Detached Duplex,Lekki,Lagos
600000000,5,5,6,4,Detached Duplex,Ikoyi,Lagos
34900000,3,3,4,4,Terraced Duplexes,Ajah,Lagos
18000000,3,3,3,4,Detached Bungalow,Ibadan,Oyo
68000000,5,4,5,3,Detached Duplex,Ajah,Lagos
35000000,2,5,5,4,Terraced Duplexes,Ajah,Lagos
1350000000,5,5,6,4,Detached Duplex,Lekki,Lagos
380000000,4,4,5,3,Terraced Duplexes,Ikoyi,Lagos
120000000,5,6,7,5,Detached Duplex,Lekki,Lagos
200000000,7,7,8,4,Detached Duplex,Lekki,Lagos
33000000,3,4,4,3,Detached Bungalow,Lekki,Lagos
45000000,8,8,8,4,Detached Duplex,Lekki,Lagos
1100000000,5,5,6,5,Detached Duplex,Ikoyi,Lagos
110000000,5,6,6,4,Detached Duplex,Lekki,Lagos
90000000,4,5,5,4,Detached Duplex,Lekki,Lagos
38000000,5,5,6,4,Terraced Duplexes,Gaduwa,Abuja
250000000,5,5,6,4,Detached Duplex,Lekki,Lagos
10000000,2,5,5,4,Detached Bungalow,Idu Industrial,Abuja
180000000,4,5,5,4,Detached Duplex,Guzape District,Abuja
